                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 0.9673,                0.59783,                  1.218,                0.90875,                0.93121,                0.92847,                0.68796,                 1.0286,                0.46831,                 1.3753,              0.0050995,              0.0050995,              0.0050995
                    102,                0.95446,                0.59357,                 1.2103,                0.90412,                  0.934,                 0.9267,                0.68674,                 1.0227,                0.46791,                  1.373,                0.00505,                0.00505,                0.00505
                    103,                0.95886,                0.58623,                 1.2153,                0.91085,                0.92666,                0.92774,                0.68777,                 1.0235,                 0.4664,                 1.3723,              0.0050005,              0.0050005,              0.0050005
                    104,                0.96071,                0.58872,                 1.2125,                0.91587,                0.92238,                0.92574,                0.68777,                  1.021,                0.46418,                 1.3692,               0.004951,               0.004951,               0.004951
                    105,                0.95411,                0.58969,                 1.2111,                0.91273,                0.92523,                0.92755,                 0.6908,                  1.018,                0.46227,                 1.3662,              0.0049015,              0.0049015,              0.0049015
                    106,                0.94746,                0.58738,                 1.2054,                0.91178,                0.92603,                0.92668,                0.69089,                  1.014,                0.46339,                 1.3641,               0.004852,               0.004852,               0.004852
                    107,                0.94035,                0.58184,                 1.2027,                0.90585,                 0.9358,                0.92591,                0.69194,                   1.01,                0.46478,                 1.3633,              0.0048025,              0.0048025,              0.0048025
                    108,                0.94157,                0.58115,                 1.2022,                  0.901,                0.94159,                0.92897,                0.69333,                 1.0087,                 0.4614,                 1.3635,               0.004753,               0.004753,               0.004753
                    109,                0.94162,                0.57445,                 1.2022,                0.89841,                0.94607,                0.92641,                0.69325,                  1.005,                0.45979,                 1.3617,              0.0047035,              0.0047035,              0.0047035
                    110,                0.93638,                0.57086,                 1.1998,                0.90154,                 0.9421,                0.92519,                0.69159,                 1.0029,                0.45743,                 1.3598,               0.004654,               0.004654,               0.004654
                    111,                0.92173,                0.57325,                  1.195,                0.90057,                0.94043,                0.92748,                0.69375,                 1.0057,                0.45936,                 1.3649,              0.0046045,              0.0046045,              0.0046045
                    112,                0.91824,                0.56816,                 1.1933,                0.89471,                0.94925,                0.92799,                0.69514,                 1.0017,                0.45791,                 1.3629,               0.004555,               0.004555,               0.004555
                    113,                0.93056,                0.57029,                 1.1979,                0.89585,                0.95127,                0.92919,                0.69868,                 0.9936,                 0.4541,                 1.3566,              0.0045055,              0.0045055,              0.0045055
                    114,                0.91669,                0.56782,                 1.1908,                0.90104,                0.94915,                0.92561,                0.69588,                0.99208,                0.45775,                 1.3575,               0.004456,               0.004456,               0.004456
                    115,                0.92474,                0.56808,                 1.1948,                0.89629,                 0.9465,                0.92701,                0.69705,                0.98947,                0.45696,                 1.3561,              0.0044065,              0.0044065,              0.0044065
                    116,                0.90849,                0.56582,                 1.1907,                0.89454,                0.95308,                0.92608,                0.69605,                0.98656,                 0.4556,                 1.3539,               0.004357,               0.004357,               0.004357
                    117,                 0.9085,                0.56097,                 1.1845,                0.89702,                 0.9491,                0.92493,                0.69872,                0.98369,                 0.4538,                 1.3525,              0.0043075,              0.0043075,              0.0043075
                    118,                 0.9089,                0.55915,                 1.1847,                0.90415,                0.94033,                0.92631,                0.70056,                0.98017,                0.45059,                 1.3507,               0.004258,               0.004258,               0.004258
                    119,                0.90141,                0.55074,                 1.1791,                0.90123,                0.94347,                0.92816,                0.70284,                0.97968,                0.44824,                 1.3515,              0.0042085,              0.0042085,              0.0042085
                    120,                0.89978,                0.55785,                 1.1819,                0.90639,                0.94134,                0.92902,                0.70396,                0.97853,                0.44657,                 1.3523,               0.004159,               0.004159,               0.004159
                    121,                0.89784,                 0.5492,                 1.1807,                0.90541,                0.94502,                0.92882,                0.70451,                0.97651,                0.44379,                 1.3515,              0.0041095,              0.0041095,              0.0041095
                    122,                0.89326,                0.55065,                 1.1734,                0.90878,                0.94283,                0.93127,                0.70541,                0.97617,                0.43989,                 1.3513,                0.00406,                0.00406,                0.00406
                    123,                  0.886,                0.54544,                  1.169,                0.90688,                0.94589,                0.93325,                0.70901,                0.97596,                 0.4386,                 1.3524,              0.0040105,              0.0040105,              0.0040105
                    124,                  0.883,                0.54753,                 1.1741,                0.90138,                0.95023,                0.93232,                0.70845,                0.97474,                0.44007,                 1.3514,               0.003961,               0.003961,               0.003961
